,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ShehabCrypto,"Father,Husband,Muslim, Moderate: RTs and ❤️are not endorsements at all times $ALGO $DOT $QNT $VET $ETH #BTC","Edison, NJ",565,569,62989,0,@NotHoodlum Racist and an Islamaphobe - only Marine LePen is worse,[]
1,HadrienPean,"#TimeTravel (real one, not ""cloned"") #StemCells are my maybe only hopes. Ranting more than notifying. Make living with 0 internet entirely possible and painless",,548,915,128723,0,"sacrifices. You also understand why the little worries of my part about Macron failing to lepen (I still don't write capital letters about people I dislike). That election was about voting the lesser evil to avoid throwing everything, not the best choice, as about best choice,",[]
2,aca_mad,,,1091,124,8178,0,I used to think that the 🇫🇷 got it right when it came to 🇷🇺agents as their President. Now I am left wondering if there was any difference between LePen and Macron when it comes to 🇷🇺Lepen was more vocal on advertising for 🇷🇺interest during the election. Macron is Putin's lapdog. https://t.co/zzJK1hJyOF,[]
3,roots_herb,"Nursery Owner,Plant propagator,Carpenter,Herbalist,Planting Seeds Of Creation,Loving Earth’s Diversity,Pioneer,Wit & News,#Resistance,Humor,Peace #FBR,Equality","Asheville, NC",4518,3621,37126,0,"#Macron is better than LePen, 
but that’s it.
What a pathetic display of pandering to 
A Sociopath determined to commit genocide 
Against the #Ukrainian people without any respect 
For international law or standards.
#Europe &amp; #France can do so much better 
Than Macron’s view","['Macron', 'Ukrainian', 'Europe', 'France']"
4,NickMorin8,Living in a crazy world,,526,552,1419,0,"@andersostlund I was happy that Macron won the election against Lepen, but since then have been very disappointed with his constant groveling to Putin. Russia is the aggressor, killing civilians constantly and never seem to abide by Geneva convention. There is no reason to help them ""save face""",[]
5,rvrridr,"Woman, Daughter, Mother, Widow, Wife, OR RN. Raising my children to be Global Citizens. Raising my daughter to be powerful!",,919,196,14919,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
6,DarthSarcastus,"Guess who's back! He/Him. Anti-bigot. Punching up is my game. The more prominent you are, the more delightful the fall.","San Joaquin Valley, California",892,240,40958,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
7,DrWhoIsMyName1,"Independent. Constitution first. Loyal to the Constitution, not one President or Party. Trump is a traitor to the Constitution and the People.",Do not forget 1/6/2021,166,58,41164,0,"NATO, they should be welcomed... after they show that  they are not Putin puppets and dictators. Considering LePen and Trump too, NATO might want to have some sort of promise from all the countries. Our safety should not be based on someone that should have&gt;6",[]
8,DrakulicIlija,Real change can only follow from citizens informing themselves and applying pressure.,"Belgrade, Republic of Serbia",4993,821,43015,24,"Seeing a pattern here? 

Putin is playing his game of chess with corrupt anti-EU/NATO politicians LePen (F), Salvini (It), Orban (Hun), Trump, Farage &amp; Johnsson (Brexit), Harkimo, Schröder (Nordsteam II), and we are too naive to see that!
#Divide&amp;Conqeur 

https://t.co/k1XKTAOXpp",[]
9,Winning_TV2,"H&S Show Tues/Thurs 7 est & The Speakeasy Show Sat 8 est on @WinningTV_ Dlive Twitch/ Uploads on Odysee Rumble
Take the Blackpill and laugh at it all",Central New York,2500,1888,75625,0,"If there is a ""Great Awakening"" habbenning...why did LePen lose? 

I love taking a piss on the Q leaders who are never right crying in the corner with their panic attacks.....",[]
