,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,wsmith725,,"Brooklyn, NY",511,175,2046,2478,"BREAKING: Ukrainian President Zelensky responds to French President Macron’s suggestion that he make territorial concessions to Putin to help Putin “save face” and end his invasion, saying, “We’re not ready to lose territory to save something for somebody.” RT TO THANK ZELENSKY!",[]
1,PierreGrosser,"Historian, International Relations and World Politics, Sciences Po Paris 
Dernier ouvrage paru: Pourquoi la Seconde Guerre Mondiale? Reed, postface inédite 2022", Ho Chi Minh City,5523,12564,62072,3,"Back from annual leave and pleased to announce the publication of my latest article with the wonderful @benjaminsday in @AustJIA: 'Australia-France relations after AUKUS: Macron, Morrison and trust in International Relations.' Have a look! @ANUasiapacific  https://t.co/GSkeGhZysk",[]
2,EPiersma,Democrat; BA&MAs; Career in IT; Baltic roots. 🌎🛫 Raised in NYC. #EndCitizensUnited #EndElectoralCollege #BlackLivesMatter #Resister #MedicareForAll 🐤=IMO,United States,6155,6032,54519,39,@Kasparov63 Honestly Macron and these types (and they are a type) all need to go to Bucha and experience their “Auchwitz moment” that drives home the point that there is deep evil afoot in the world currently and understand that it must be absolutely vanquished at all costs.,[]
3,EPiersma,Democrat; BA&MAs; Career in IT; Baltic roots. 🌎🛫 Raised in NYC. #EndCitizensUnited #EndElectoralCollege #BlackLivesMatter #Resister #MedicareForAll 🐤=IMO,United States,6155,6032,54519,15,"@Kasparov63 Chamberlain had no right or invitation to give away Czech Sudetenland. 
Macron has no right or invitation to give away part of Ukraine.",[]
4,pourteaux,asymmetric cryptography | @huatventures | micrographic surgeon (MD) | picking quarrels & provoking trouble | ex @uiowa @harvard | online: https://t.co/opdwDyjPLY,"Boston, MA",2974,6941,21773,0,"Remember when Emanuel Macron pushed for “Finland-ization” of Ukraine to satisfy Putin? 

Well, Finland has new plans: it is about to become the NATO country with the largest border with Russia https://t.co/srVNsx946o",[]
5,EPiersma,Democrat; BA&MAs; Career in IT; Baltic roots. 🌎🛫 Raised in NYC. #EndCitizensUnited #EndElectoralCollege #BlackLivesMatter #Resister #MedicareForAll 🐤=IMO,United States,6155,6032,54519,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
6,LeMontContent,Content Strategist | Content Designer | Opinions are my own,"Seattle, WA",87,16,849,5920,Macron and Scholz are negotiating with Putin over Zelensky’s head. It’s completely inappropriate,[]
7,evereeze,"neuteup manehna dina lolongkrang kiceup..

ujug-ujug bapana nyangsangkeun peuruep..

padahal awewena okos bueuk..

#emank abdi keur no-ong bueuk..#

 😜🙏😂",indonesia,1916,536,227614,5,"ICYMI: The #UAE's new president Sheikh Mohamed bin Zayed Al Nahyan holds talks with French counterpart Emmanuel #Macron as world leaders stream in to #AbuDhabi to pay tribute to his predecessor.

https://t.co/eGhBEBsIdl","['UAE', 'Macron']"
8,titansrobin,,nashville tn,163,168,2461,2478,"BREAKING: Ukrainian President Zelensky responds to French President Macron’s suggestion that he make territorial concessions to Putin to help Putin “save face” and end his invasion, saying, “We’re not ready to lose territory to save something for somebody.” RT TO THANK ZELENSKY!",[]
9,_India_Research,"Nuts and bolts of Indian foreign policy ■ PhD, Contemporary India Research @KingsCollegeLon ■ MA:IR @MiddlesexUni ■ Need sources on Indian foreign policy? DM me",London or Noida,879,1370,10099,3,"Back from annual leave and pleased to announce the publication of my latest article with the wonderful @benjaminsday in @AustJIA: 'Australia-France relations after AUKUS: Macron, Morrison and trust in International Relations.' Have a look! @ANUasiapacific  https://t.co/GSkeGhZysk",[]
10,RandomMusingMom,"aspiring blogger, foodie, parent, organic, outdoor, self-realization, live in the Now moment!","SF Bay Area, CA",287,158,31376,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
11,steve_sherwood,"Apokatastasis, God's heart is for the oppressed. Believe in science. Kept Jesus, left the Evangelical Industrial Complex. he/him.",,849,1061,61652,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
12,RFlummerfelt,Canon Lawyer/Attorney,"Las Vegas, NV",1267,84,5286,416,"Had Macron supported Ukraine the way Boris Johnson did, almost all of Europe would now dance to the tune of strategic sovereignty.",[]
13,ForwardInk,"ᴡɪᴄᴋᴇᴅ ᴘʀᴏʙʟᴇᴍ ᴇɴᴛʜᴜꜱɪᴀꜱᴛ | 𝐈 𝐊𝐧𝐨𝐰 Nothing 
#𝙶𝚛𝚒𝚙𝚙𝚢𝚂𝚘𝚌𝚔𝙶𝚊𝚗𝚐 #MUFC #1A",Cape Fear,380,4331,54325,1,"“We want the Russian army to leave our land — we aren’t on Russian soil,” Zelenskyy replied. “We won’t help Putin save face by paying with our territory. That would be unjust.” 

 https://t.co/rzbZxvczGp",[]
14,hansoevenema,"I tweet and retweet about the situation in Ukraine
Their fight against the Russian agression and violation of a free Ukraine    I refollow  🇪🇺 🇳🇱 🇰🇷 🇺🇦",,1973,552,58299,16,@DrRadchenko @spectator When a person's self constructed reality is no longer compatible with actual reality it triggers a breakdown and the person has to rebuild. The same is true of nation states. Macron and Scholz neeed to realise we do not help the patient by maintaining the delusion.,[]
15,marshava55,,,166,51,11070,2478,"BREAKING: Ukrainian President Zelensky responds to French President Macron’s suggestion that he make territorial concessions to Putin to help Putin “save face” and end his invasion, saying, “We’re not ready to lose territory to save something for somebody.” RT TO THANK ZELENSKY!",[]
16,Crystal82028223,"Mother of 3 wonderful sons; Airforce vet, Deputy Sheriff,  Fireman. 2 cats.
Country before party.
Think first, then speak.","Georgia, USA",2266,2136,259187,8132,"Macron and Scholz's idea of giving up territory as to ""not humiliate Putin"" is fine.

We just need to decide which parts of France and Germany to give him.",[]
17,kozlovskyi_v,,Ukraine,45,18,1230,690,"Macron and Scholz should ONLY be providing Ukraine weapons and training, cutting off Russian energy, and visiting Zelensky in Kyiv (which neither have done). No more chitchats with Putin!",[]
18,ascBeachAve,,"Vancouver, British Columbia",311,213,55036,7248,Zelensky responding to Macron: “We want the Russian army to leave our land — we aren’t on Russian soil. We won’t help Putin save face by paying with our territory. That would be unjust.” https://t.co/s9wnCEOP3z via @zoyashef,[]
19,TyrellMayfield,||Redefining the Modern Military||Writing a Kabul memoir. BoD member @Strategy_Bridge. Servant of the Republic. Minor Spear Carrier. No Official Statements.,IVO: KJPN,1258,5838,79915,1,"“We want the Russian army to leave our land — we aren’t on Russian soil,” Zelenskyy replied. “We won’t help Putin save face by paying with our territory. That would be unjust.” 

 https://t.co/rzbZxvczGp",[]
20,RubenFe48380694,"Rubén Oscar Fernández , técnico electricista nacido en la plata , busco ser  una mejor persona en la vida .","La Plata, Argentina",634,105,31530,7248,Zelensky responding to Macron: “We want the Russian army to leave our land — we aren’t on Russian soil. We won’t help Putin save face by paying with our territory. That would be unjust.” https://t.co/s9wnCEOP3z via @zoyashef,[]
21,CryptoIsChange,"Change: System. World. Your Life.
Go Crypto!
Coder/Cryptanarchist/Tek/GenX/Man/European
Trade & BE FREE!!!
CryptoProfit is made 24/24.
Don't follow me please...",,244,0,265,0,"@Billbrowder Of course putin ORC face must be hammered until some bones can be seen... not ""saved""... its like pope telling demon works must be respected... I presume France still on ""Liberté, Égallité, Fraternité"" not changing to ""Slavery Submission Assassination""... maybe Macron a bit wrong",[]
22,nythaikus,The output of a bot that scans the NYT for Haiku. Created by @harrisj (who built original); NOT affiliated with the NYT in any way. Logo by @backspace,,1,3619,62556,0,"You know, Michael, I
don’t think it’s hurt her that much
electorally.

https://t.co/NfN1Tb2K9b",[]
23,terriergrace,,,34,32,820,0,@commie_h8r @visegrad24 @kajakallas My goldfish has more balls than Macron.,[]
24,jajapeech,,,63,41,251,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
25,Christianfg08,,,54,138,7828,530,Calling the dictator Putin again and again – submitting to humiliation for no gain – Emmanuel Macron is the Chornobayivka of politicians.,[]
26,ThunterATL,He/Him History Buff LiberalAF Hates Injustice 🚫MAGAts 🚫Fascists #BLM #Resist #LGBTQ #NeverTrumper #BlueVoices #VoteBlue22 #IDWP #DrCole IBLOCKGQP🇺🇸,Thankfully not in Texas or Fla,3622,3016,13339,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
27,DrIanHall,मेढक | IR Prof @GAIGriffith | Co-editor @AustJIA | 🐍 | Book: Modi and the Reinvention of Indian foreign policy | Usual caveats,Brisbane,4813,15492,71510,3,"Back from annual leave and pleased to announce the publication of my latest article with the wonderful @benjaminsday in @AustJIA: 'Australia-France relations after AUKUS: Macron, Morrison and trust in International Relations.' Have a look! @ANUasiapacific  https://t.co/GSkeGhZysk",[]
28,bonham_charlie1,,,157,18,7767,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
29,SadBillAckman,"The Free Cash Flow was the friends we made along the way.

Special dividend evangelist","Core of the Core, in a Cube.",93,5325,85737,3,"""⚡️Zelensky dismissed the head of territorial defense forces, Yuri Galushkin, for numerous miscalculations in the organization of the service. Igor Tantsyura became the new commander."" This follows Pres Macron &amp; Chancellor Scholz suggesting Ukraine cede territory to end the war. https://t.co/zKjKNtB0Tk",[]
30,campos10_lcia,,,134,48,908,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
31,Robogorillav3,I am a fount of unpopular opinions. Your hate for me sustains me.,USA,518,190,5857,3,"""⚡️Zelensky dismissed the head of territorial defense forces, Yuri Galushkin, for numerous miscalculations in the organization of the service. Igor Tantsyura became the new commander."" This follows Pres Macron &amp; Chancellor Scholz suggesting Ukraine cede territory to end the war. https://t.co/zKjKNtB0Tk",[]
32,TombbaP,,Finland,81,26,5329,416,"Had Macron supported Ukraine the way Boris Johnson did, almost all of Europe would now dance to the tune of strategic sovereignty.",[]
33,PickleRick4Pres,"Pickle Rick for President, but #Bernie2020 in the right reality. 🇺🇸",,1154,393,60484,5920,Macron and Scholz are negotiating with Putin over Zelensky’s head. It’s completely inappropriate,[]
34,Infrequentvalue,, CA,4869,2408,41913,3,"""⚡️Zelensky dismissed the head of territorial defense forces, Yuri Galushkin, for numerous miscalculations in the organization of the service. Igor Tantsyura became the new commander."" This follows Pres Macron &amp; Chancellor Scholz suggesting Ukraine cede territory to end the war. https://t.co/zKjKNtB0Tk",[]
35,Fitzmurphy1,,,225,86,154426,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
36,nicahokie,Retweets ≠ endorsements. “Software Developer: The computer programmer is a creator of universes for which he alone is the lawgiver.” ~ J. Weizenbaum,New Amsterdam,1870,1083,70603,690,"Macron and Scholz should ONLY be providing Ukraine weapons and training, cutting off Russian energy, and visiting Zelensky in Kyiv (which neither have done). No more chitchats with Putin!",[]
37,VOAbxu,美国之音记者、主持人。,,114,10479,15675,530,Calling the dictator Putin again and again – submitting to humiliation for no gain – Emmanuel Macron is the Chornobayivka of politicians.,[]
38,RTronenko,Посол України у Португалії (2005-10) та Бразилії (2012-21). Embaixador da Ucrânia em Portugal (2005-10) e no Brazil (2012-21).,,531,6906,8680,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
39,Egl_Staunton,"Senior Lecturer at the Dept. of International Relations at the ANU. Specialises in human protection, norm diffusion and French foreign policy.","Canberra, Australia",917,1339,3720,3,"Back from annual leave and pleased to announce the publication of my latest article with the wonderful @benjaminsday in @AustJIA: 'Australia-France relations after AUKUS: Macron, Morrison and trust in International Relations.' Have a look! @ANUasiapacific  https://t.co/GSkeGhZysk",[]
40,Barbtomko1,"Stayed alive to see tfg out. New goal! All Insurrectionists convicted, lives, careers ruined! Sorry, I don’t open protected sites or DMs. Thanks followers!","Chicago, IL",2720,3767,225153,390,"""France's President Macron offered to make concessions on Ukraine's sovereignty in order to save the face of Putin,"" Ukraine's President Zelenskyy in an interview with Italian TV channel Rai 1.
Seems Macron needs to clarify his words.",[]
41,cate_long,I lead a research service for Puerto Rico bondholders. Former contributor to Reuters.,"Tulsa, Oklahoma",1898,24225,243470,3,"""⚡️Zelensky dismissed the head of territorial defense forces, Yuri Galushkin, for numerous miscalculations in the organization of the service. Igor Tantsyura became the new commander."" This follows Pres Macron &amp; Chancellor Scholz suggesting Ukraine cede territory to end the war. https://t.co/zKjKNtB0Tk",[]
42,sojboj_zizek,"على هذه الأرض ما يستحق الحياة \\

Marxist-Leninist","Montréal, Québec",526,571,5017,0,@commiwiphone Bestie these people were begging macron to reinstate the french mandate in 2019 khaleena sektin,[]
43,latham_s,,,330,66,24419,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
44,ISurvivedLuxon,"Whistleblower/Survivor of Christopher Luxon's tenure at Air NZ. Keyholder to Luxon skeleton cupboard.  Anti- Religion. Keyboard warrior for the hero, Zelenskyy.",,234,158,14768,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
45,ODubOracle,"I tried, I really tried but the world was bent on destruction. The undesirables have awoken the darkness in me and for that, they will not be forgiven.",Right Here,507,373,4978,533,Not much difference between Macron and a Russian river crossing. Just because something has failed with devastating results several times doesn't stop him from trying the exact same thing again. https://t.co/d385GukPeq,[]
46,VigilantRemain,,,193,7,8690,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
47,dewildemichel,🇧🇪🇪🇺🇺🇦 #StandWithUkraine || Slava Oekraniya,,767,424,13736,0,"@ivanastradner Wrong. Europeans countries should create a European army. Something Macron said many times. Why? Because when Trump was president, it was clear that Europe couldn’t count on him. He never endorsed NATO’s 5th amendement. So what if he gets elected again? Choose your friends wisely",[]
48,CryptoNympho420,"Investor | Entrepreneur | God loving, patriotic-family man | 420.",,321,82,296,198,"Finland and Sweden are joining NATO. Both country's leaders are WEF young globalists. Add, Johnson,, Trudeau, Macron, Arden, Merkel, Morrison, Biden, Draghi, Zelenskyy etc etc, and you can see who the real enemy is. https://t.co/aHvBjQHAUO",[]
49,242Lissa,"We are all just passing through for a short while.  Be curious, brave, hopeful, generous, honest, strong, tolerant & kind...they make happiness the norm. 🌻🐝","Florida, USA",508,608,18585,7247,Zelensky responding to Macron: “We want the Russian army to leave our land — we aren’t on Russian soil. We won’t help Putin save face by paying with our territory. That would be unjust.” https://t.co/s9wnCEOP3z via @zoyashef,[]
50,Mohamma28307078,,,59,430,161271,7247,Zelensky responding to Macron: “We want the Russian army to leave our land — we aren’t on Russian soil. We won’t help Putin save face by paying with our territory. That would be unjust.” https://t.co/s9wnCEOP3z via @zoyashef,[]
51,Mohamma28307078,,,59,430,161271,5920,Macron and Scholz are negotiating with Putin over Zelensky’s head. It’s completely inappropriate,[]
52,babannie,Is the Funny One #StandWithUkraine,,1424,218,4331,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
