,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,crn114,I offer myself upto the casual indifference of the world.,,937,52,2741,0,At last (see headline) https://t.co/TKZ2MsWjIC,[]
1,YorchCalgarian,“You can ask the universe for signs all you want but ultimately we'll only see what we want to see...when we're ready to see it.” 🇨🇦🇲🇽,,1144,1560,142379,45,"fortunately left politicians outside the US are not beholden to this imperial pathology. from corbyn to morales, lula and melenchon, they've all adopted the sensible position that diplomacy is the way forward, not endless slaughter, bravely fighting to the last ukrainian",[]
2,European_blogs,Association for the promotion of European economists.,"Brussels, Belgium and Plovdiv, Bulgaria",140,195,24442,0,"A new alliance boosts the left ahead of France’s parliamentary elections IN A POLITICAL takeover that upends the past half-century’s political order, the radical French left has swallowed the centre-left. Jean-Luc Mélenchon, a https://t.co/Klhv5Q9rxr",[]
3,M_BEQQALI,,"Lyon, France",278,42,495,0,The left has finally got its act together – in France. #NUPES https://t.co/RF0F2hKfGm,['NUPES']
4,lexoomfie,siamo tutti antifascisti | transfemme | she/her,@PilauPriv,752,289,20442,0,omg i can become three time presidential candidate jean luc melenchon https://t.co/XwuxmeLJro,[]
5,GuyPaladin,"Libertarian Socialist. IRL Buzz Killington. Too many NSFW retweets. 35 He/Him, They/Them #Antifa #BLM #ACAB

Profile pic by ArtfulBeast: https://t.co/N1Mido08xN",,5000,152,32758,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
6,LauroJaquez,,"Tijuana, Baja California",122,31,1419,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
7,vendurra,"Ideologically in favor of strong Civic Institutions. 

I oppose the left/right paradigm and the global economic order lead by oligarchs and the CCP.",,257,35,5309,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
8,Kadubrp,Para sempre um nômade,Por aí,826,145,18626,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
9,Orest_Baback,"Пухнастий бабак
Fluffy Marmot
😁",Ukraine,407,357,86638,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
10,Gaulather,Democratic Socialist and Proportional Representation advocate. He/Him.,,129,457,4353,0,"@King__Spades Now that you mention it, it is kinda something we see a lot in presidential systems. Makes sense that Mélenchon voters for example wouldnt approve of Macron, even though they may have voted for him in the 2nd round.",[]
11,andreas_genet_2,walking past the outskirts of..err.,,46,12,10741,0,"in France, Melenchon is strongly on the rise since the war, he is against any arms deliveries to Ukraine. In germany it is the opposite. Germans are so retarded. FRANCE IS STILL MY COUNTRY. Time to go back as soon as possible.",[]
12,polimystic_ian,laudato sí social democrat studying polisci. 📚🚲 Przeworski-Rawls Thought. @socialelects,ATL,1184,1050,4853,0,"@Josh20Left I say most because of Melenchon in France &amp; the Corbyn years of Labour.

Other cases where the socialist wins but governs in coalition like a social democrat exist as well like Boric in Chile. This scenario is what is most appealing to me.",[]
13,FToast60,🇦🇺 Australian / 🇺🇲 America fan / #standwithukraine 🇺🇦 / Knuckles the Echidna🥺❤️ / Fuck fascists / Fuck communists / 15 / Globalist 🌐,Australia,1041,123,3770,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
14,CAChalmers_,"@CongletonLibDem Data Officer.
Campaigns & Comms @NorthWest_YL.
Founder & Owner @ukers_ @CheshireElects.
he/him.
Слава Україні.","Sandbach, Cheshire",3033,696,40103,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
15,AugustodeMendo1,,Brasil,680,133,5627,66,"Imagine what a horrific pile of burning rubble we would find ourselves in right now, if Putin enablers like Trump, Le Pen, Melenchon, Salvini, and Corbyn had won the elections they lost.",[]
