,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,SwiftieSheffie1,𝙉𝙚𝙫𝙚𝙧 𝙢𝙚𝙩 𝙏𝙖𝙮𝙡𝙤𝙧 ♡ 𝗖𝗵𝗶𝗻𝗲𝘀𝗲 𝗦𝘄𝗶𝗳𝘁𝗶𝗲 🇨🇳@taylornation13 Liked x3 Retweeted x4,Cornelia Street,1543,1844,14860,0,Taylor Swift has won “Top Country Album” for #RedTaylorsVersion at the 2022 Billboard Music Awards. AND she won this same award back in 2013 for the original Red album ❤️#BBMAs #TaylorSwift @taylornation13 @taylorswift13 https://t.co/p6jiqd63kA,"['RedTaylorsVersion', 'BBMAs', 'TaylorSwift']"
1,WilliamSDeaver,"Critic, temple attendant and keeper of the flame.",New York,34,200,4504,0,"For that matter, a #TaylorSwift re-recording got obstructed because someone trademarked ""#Speaknow"", but this chick can just use ""Alexa"" as her stage name? Is that fair? #BillboardMusicAwards","['TaylorSwift', 'Speaknow', 'BillboardMusicAwards']"
2,AliGreisch,22 y/o. I tweet abt what I love and excited abt & excited abt what I love...and tweet abt(?). TikTok: @alidancesaround,"Mequon, WI",548,204,23001,0,"I have been singing “I Wish You Would” by @taylorswift13 in my head all day. 

#IWishYouWould #1989TaylorsVersion #TaylorSwift","['IWishYouWould', '1989TaylorsVersion', 'TaylorSwift']"
3,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,167,"Louis coming onto the stage! 
#LTWTSantiago #Night1
15.5.22

🎥: movistararena https://t.co/t56gi4soCZ","['LTWTSantiago', 'Night1']"
4,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,246,"One Direction’s ‘Drag Me Down’, performed by Louis Tomlinson, live from Movistar Arena.
#LTWTSantiago #Night1
15.5.22

🎥: laut_91 https://t.co/vwrkD4IViJ","['LTWTSantiago', 'Night1']"
5,LynneSchmidt,‘20 New Womens Voices Winner - Dead Dog Poems. ‘21 @poetryquestion Chap Winner - SexyTime. PetParent to Kyla/Enyo/Zoë/TaylorSwift + runs @AbortionChat,Michigan // OBX // Maine ,3898,5353,75758,0,"FB Memories says today I’ve had TaylorSwift for SEVEN years.

Holy Hannah. https://t.co/2HhyyFhTax",[]
6,swiftiesretweet,"Reputation :-), i retweet #Swifties ;-)  FB: swifties.retweets IG: evazafiraswiftiez",Germany,748,2689,62018,1,hi i’m new to taylor stan twt but taylor has been my first stan since i was like 5 and watched the ybwm mv bc my sister made me. as she should. anyways looking for moots/friends follow me or reply or dm mee :)  #swifties #taylorswift,[]
7,ajezxxxxx,"""people are people and sometimes we change our minds"" - ts",Far Far Away,252,117,3629,3,"Taylors Swift has won FOUR Billboard Music Awards so far tonight!

- Top Billboard 200 Artist
- Top Country Artist
- Top Country Female Artist
- Top Country Album for ""Red (Taylor’s Version)"" #taylorswift #swiftie #redtaylorsversion #bbmas #billboardmusicawards https://t.co/n5ypBzOlJp",[]
8,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,202,"Louis and his band. 
#LTWTSantiago #Night1 
15.5.22 

📸: ferpaints https://t.co/NPFNC1vLr2","['LTWTSantiago', 'Night1']"
9,aldrinlovestay,The Archer 🏹 | 18 years old | 𝒇𝒐𝒍𝒌𝐞𝐯𝐞𝐫𝐦𝐨𝐫𝐞 𝐬𝐭𝐚𝐧 🍂 | 𝚁𝚎𝚊𝚕𝚕𝚢 𝚠𝚊𝚗𝚝 𝚝𝚘 𝙼𝙴𝙴𝚃 𝙏𝙖𝙮𝙡𝙤𝙧 🧚 | 𝙁𝙖𝙣 𝙨𝙞𝙣𝙘𝙚 𝚛𝚎𝚙 🐍 | TSx3,🇵🇭,1688,2098,13569,0,both are great re-recorded country albums!! so true 🫠 congrats to red (taylor’s version) anyways 🥰#BBMAs #taylorswift https://t.co/LJlthjJOAc,"['BBMAs', 'taylorswift']"
10,Sachtheswiftie,Honestly just use this to make IG posts so go follow me there ✨,"Plymouth, England",11,5,61,0,OMGGGG 4 WINS?!? I'm so glad Red (TV) is getting the recognition the stolen version was robbed of in 2012  #TaylorSwift #redtaylorsversion #BBMAs https://t.co/2sps2uGk9O,"['TaylorSwift', 'redtaylorsversion', 'BBMAs']"
11,longstorycali,my user is like bc i’m short and i tell long stories i’m so funny anyways i like taylor and u should be my friend,,8,0,1,1,hi i’m new to taylor stan twt but taylor has been my first stan since i was like 5 and watched the ybwm mv bc my sister made me. as she should. anyways looking for moots/friends follow me or reply or dm mee :)  #swifties #taylorswift,"['swifties', 'taylorswift']"
12,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,277,"We Made It, Louis Tomlinson, live from Movistar Arena. 
#LTWTSantiago #Night1
15.5.22

🎥: hoftlarents https://t.co/PilVfzjx5S","['LTWTSantiago', 'Night1']"
13,donyaleeRN,"Nurse, dog mom, perpetual student","Longview, TX",54,19,362,0,"Finally Swifties! The TS Galentine gift bags are finished and available! Head to https://t.co/EcxgiVeVmK
and check out your favorite album purse! ❤️ #swifties #taylorforever #taylorswift #swiftwitter #stantaylor https://t.co/DHXtGX1QzF","['swifties', 'taylorforever', 'taylorswift', 'swiftwitter', 'stantaylor']"
14,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,224,"Louis performing to his crowd! 
#LTWTSantiago #Night1 
15.5.22 

📸: afhlouis https://t.co/Xy83lmK6Sv","['LTWTSantiago', 'Night1']"
15,TaylorSwift_SV,¡Fan Base de @taylorswift13 en El Salvador! 🧣RED (Taylor's Version) IS OUT NOW! https://t.co/37QNOzIHuK,El Salvador,25,554,9803,41,"Most streamed female artists on Spotify on Saturday (May 14, 2022):

#1 @taylorswift13 27.8M
#2 @DojaCat 15.2M
#3 @DUALIPA 15.1M
#4 @karolg 15M
#5 @ArianaGrande 13.5M
#6 @billieeilish 12.3M
#7 @oliviarodrigo 10.5M
#8 @rihanna 10.3M
#9 @Adele 8.8M
#10 @Camila_Cabello 8.7M",[]
16,TaylorSwift_SV,¡Fan Base de @taylorswift13 en El Salvador! 🧣RED (Taylor's Version) IS OUT NOW! https://t.co/37QNOzIHuK,El Salvador,25,554,9803,31,"Taylor Swift is the 2nd female artist with most albums over 3 billion streams on Spotify with 'folklore' joining '1989', 'reputation' and 'Lover' (4). https://t.co/Aag5dnK24v",[]
17,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,87,i’m gonna throw up https://t.co/uDQCDQAMfg,[]
18,xvlOG,Camila ❤️ XOXO #taylorswift #1989,Michigan,309,3192,187174,1,Every #TaylorSwift song is about #Grindeldore part 6 https://t.co/BTT4bjEZoh,"['TaylorSwift', 'Grindeldore']"
19,xvlOG,Camila ❤️ XOXO #taylorswift #1989,Michigan,309,3192,187174,1,"Congrats to #BillboardMusicAwards #BMA #Winners !!! (#TaylorSwift, #Drake and #DojaCat !!!).
View the New #designer #footwear online Allee.9 !!!
Visit:
https://t.co/gqfruSfXWR","['BillboardMusicAwards', 'BMA', 'Winners', 'TaylorSwift', 'Drake', 'DojaCat', 'designer']"
20,xvlOG,Camila ❤️ XOXO #taylorswift #1989,Michigan,309,3192,187174,1,"@TNTLA Los Swifties

👌👌👌

@TNTLA 

#TaylorSwift

#BillboardTNT

@taylorswift13","['TaylorSwift', 'BillboardTNT']"
21,xvlOG,Camila ❤️ XOXO #taylorswift #1989,Michigan,309,3192,187174,3,"Taylors Swift has won FOUR Billboard Music Awards so far tonight!

- Top Billboard 200 Artist
- Top Country Artist
- Top Country Female Artist
- Top Country Album for ""Red (Taylor’s Version)"" #taylorswift #swiftie #redtaylorsversion #bbmas #billboardmusicawards https://t.co/n5ypBzOlJp",[]
22,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,491,"First look at Louis!
#LTWTSantiago #Night1 
15.5.22 

📸: afhlloveaccount https://t.co/Z1Rv9Bw3oG","['LTWTSantiago', 'Night1']"
23,L_TaylorSwift_S,"TPWK 🏳️‍🌈 she/her
Larrie/Swiftie/Directioner ❤ 23
🦋 Never been so defenceless ☀️ It's not the same as it was 🌻 Just between us I remember it All Too Well 🧣",she/her,456,253,38424,963,"Louis signed a poster and CD for little fan Renato!

📸: @NedaPolaris https://t.co/Yd5AfQVYlE",[]
24,GOOD4CHARLIVIA,"#CHARLIVIA : I love @charlidamelio and @OliviaRodrigo 
charli and dixie follow ♡ sasha and ryleigh follow ♡",in charli's heart ,1808,1939,13308,27,"🏆| @taylorswift13’s second re-recording “Red (Taylor’s Version)” has won Top Country Album at the Billboard Music Awards 2022! #BBMAs 

This is her 3rd time winning this award. 

#TaylorSwift https://t.co/EzuUNuEIH0",[]
25,bellasexile,no.1 august stan,,2575,2583,7471,77,"📲| The ""TaylorSwift"" hashtag has reached 24 BILLION views on Tiktok! https://t.co/jiv3WUA6va",[]
26,pineabul,I sell resume template. More than 4.9k copies sold. (see pinned tweet for feedbacks),,614,7964,184489,3,"Taylors Swift has won FOUR Billboard Music Awards so far tonight!

- Top Billboard 200 Artist
- Top Country Artist
- Top Country Female Artist
- Top Country Album for ""Red (Taylor’s Version)"" #taylorswift #swiftie #redtaylorsversion #bbmas #billboardmusicawards https://t.co/n5ypBzOlJp",[]
27,FlyFM958,"NOW with Douglas Lim & Juanita in the morning & the music YOU want all day! Listen via https://t.co/MNb8z1riut, Audio+ OR Youtube/FlyTV",Malaysia,148,363042,92200,3,"Taylors Swift has won FOUR Billboard Music Awards so far tonight!

- Top Billboard 200 Artist
- Top Country Artist
- Top Country Female Artist
- Top Country Album for ""Red (Taylor’s Version)"" #taylorswift #swiftie #redtaylorsversion #bbmas #billboardmusicawards https://t.co/n5ypBzOlJp","['taylorswift', 'swiftie', 'redtaylorsversion', 'bbmas', 'billboardmusicawards']"
